,nome,Desmatamento (ha):bar:100,,,,,,,,,,,,,,,,Desmatamento total  (ha),Área UCs (ha),Área TIs (ha),Usinas Hidrelétricas,,,PCHs,,,Mineração (t),
id,,1997,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,,,,instaladas,planejadas,potenciais, instaladas,planejadas,potenciais,Potencial,Exploração
6424741,,,,,,,,,,,,,,,,,,0,7940,,8,,12,52,85,132,586,365
6248098,,,,,,,,,,,,,,,,,,0,,,,,,,,,,
6424823,,,,,,,,,,,,,,,,,,0,,,,,,,,,,
6424834,,,,,,,,,,,,,,,,,,0,2618,,,,,,,,,
6425868,,,,,,,,,,,,,,,,,,0,,535,,,,,,,,
6249809,,,,,,,,,,,,,,,,,,0,,,,,,,,,,
6424829,,,,,,,,,,,,,,,,,,0,,,,,,,,,,
6424953,,,,,,,,,,,,,,,,,,0,,,,,,,,,,
6424750,,,,,,,,,,,,,,,,,,0,20934,,,,,,,,,
6224998,,,,,,,,,,,,,,,,,,0,,,,,,,,,,
6248095,,,,,,,,,,,,,,,,,,0,,28719,,,,,,,,
6424723,,,,,,,,,,,,,,,,,,0,,,,,,,,,,
6424838,,,,,,,,,,,,,,,,,,0,,,,,,,,,,
6424832,,,,,,,,,,,,,,,,,,0,48786,,,,,,,,,
6424833,,,,,,,,,,,,,,,,,,0,43481,3106,,,,,,,,
6424791,,,,,,,,,,,,,,,,,,0,,,,,,,,,,
6424893,,,,,,,,,,,,,,,,,,0,,,,,,,,,,
6224995,,,,,,,,,,,,,,,,,,0,,46351,,,,,,,,
6249807,,,,,,,,,,,,,,,,,,0,,,,,,,,,,
6224969,,,,,,,,,,,,,,,,,93,93,193,224,,,,,,,,
6424797,,,,,,,,,,,,,,,,,,0,8167,,,,,,,,,
6424930,,,,,,,,,,,,,,,,,,0,,,,,,,,,,
6424895,,,,,,,,,,,,,,,,,,0,,633,,,,,,,,
6424792,,,,,,,,,,,,,,,,,,0,,,,,,,,,,
6424810,,,,,,,,,,,,,,,,,,0,36945,1983,,,,,,,,
6424941,,,,,,,,,,,,,,,,,,0,36743,,,,,,,,,
6424799,,,,,,,,,,,,,,,,,,0,4443,,,,,,,,,
6424863,,,,,,,,,,,,,,,,,,0,,,,,,,,,,
6248092,,,,,,,,,,,,,,,,,,0,,48458,,,,,,,,
6424910,,,,,,,,,,,,,,,,,,0,90039,,,,,,,,,
6427280,,,,,,,,,,,,,,,,,,0,,,,,,,,,,
6424794,,,,,,,,,,,,,,,,,,0,,,,,,,,,,
6424897,,,,,,,,,,,,,,,,,,0,,13935,,,,,,,,
6224992,,,,,,,,,,,,,,,,,,0,29450,8,,,,,,,,
6424952,,,,,,,,,,,,,,,,,,0,,,,,,,,,,
6425890,,,,,,,,,,,,,,,,,,0,,,,,,,,,,
6425866,,,,,,,,,,,,,,,,,,0,,,,,,,,,,
6424865,,,,,,,,,,,,,,,,,,0,,,,,,,,,,
6427290,,,,,,,,,,,,,,,,,,0,,,,,,,,,,
6424947,,,,,,,,,,,,,,,,,,0,,2668,,,,,,,,
6424593,,,,,,,,,,,,,,,,,,0,,179,,,,,,,,
6424821,,,,,,,,,,,,,,,,,,0,53089,55,,,,,,,,
6427260,,,,,,,,,,,,,,,,,,0,12,,,,,,,,,
6424796,,,,,,,,,,,,,,,,,,0,3781,,,,,,,,,
6424951,,,,,,,,,,,,,,,,,,0,30506,28579,,,,,,,,
6427229,,,,,,,,,,,,,,,,,,0,298,,,,,,,,,
6424885,,,,,,,,,,,,,,,,,,0,,,,,,,,,,
6424798,,,,,,,,,,,,,,,,,,0,,,,,,,,,,
6425840,,,,,,,,,,,,,,,,,,0,,1,,,,,,,,
6424795,,,,,,,,,,,,,,,,,,0,,,,,,,,,,
6425869,,,,,,,,,,,,,,,,,,0,,,,,,,,,,
6427409,,,,,,,,,,,,,,,,,,0,,,,,,,,,,
6424767,,,,,,,,,,,,,,,,,,0,,,,,,,,,,
6424763,,,,,,,,,,,,,,,,,,0,15459,,,,,,,,,
6424793,,,,,,,,,,,,,,,,,,0,,,,,,,,,,
6424764,,,,,,,,,,,,,,,,,,0,,,,,,,,,,
6424782,,,,,,,,,,,,,,,,,,0,,,,,,,,,,
6224464,,,,,,,,,,,,,,,,,167,167,,1181494,,,,,,,,
6428140,,,,,,,,,,,,,,,,,,0,130135,,,,,,,,,
6424762,,,,,,,,,,,,,,,,,,0,671,,,,,,,,,
6224462,,329618,0,60070,4294,35399,51491,54762,43852,11867,8664,6805,1860,1434,350,1081,3011,614558,515,442495,,,,,,,,
6249808,,,,,,,,,,,,,,,,,,0,,,,,,,,,,
6226829,,1310552,0,135914,47509,41115,35878,60005,33189,14828,10637,13784,5933,5870,3631,3326,1118,1723289,256744,352805,,,,,,,,
6424825,,,,,,,,,,,,,,,,,,0,,,,,,,,,,
6424970,,,,,,,,,,,,,,,,,,0,26,,,,,,,,,
6249806,,,,,,,,,,,,,,,,,,0,,,,,,,,,,
6424850,,,,,,,,,,,,,,,,,,0,10424,,,,,,,,,
6424888,,,,,,,,,,,,,,,,,,0,,,,,,,,,,
6424884,,,,,,,,,,,,,,,,,,0,,11652,,,,,,,,
6424745,,,,,,,,,,,,,,,,,,0,4271,1263,,,,,,,,
6424920,,,,,,,,,,,,,,,,,,0,3369,,,,,,,,,
6224994,,,,,,,,,,,,,,,,,,0,87156,,,,,,,,,
6424896,,,,,,,,,,,,,,,,,,0,1862,,,,,,,,,
6424724,,,,,,,,,,,,,,,,,,0,1923,,,,,,,,,
6249909,,,,,,,,,,,,,,,,,,0,1056,,,,,,,,,
6424886,,,,,,,,,,,,,,,,,,0,,,,,,,,,,
6424867,,,,,,,,,,,,,,,,,,0,,,,,,,,,,
6224499,,,,,,,,,,,,,,,,,346,346,15199,35616,,,,,,,,
6424898,,,,,,,,,,,,,,,,,,0,13136,,,,,,,,,
6424730,,,,,,,,,,,,,,,,,,0,,,,,,,,,,
6424883,,,,,,,,,,,,,,,,,,0,,,,,,,,,,
6424943,,,,,,,,,,,,,,,,,,0,,28549,,,,,,,,
6424882,,,,,,,,,,,,,,,,,,0,,7388,,,,,,,,
6424747,,,,,,,,,,,,,,,,,,0,8421,191,,,,,,,,
6424766,,,,,,,,,,,,,,,,,,0,,,,,,,,,,
6224498,,2471,0,3195,1270,272,570,2031,47,126,207,60,8,0,41,110,777,11185,,2115,,,,,,,,
6424956,,,,,,,,,,,,,,,,,,0,127278,,,,,,,,,
6424594,,,,,,,,,,,,,,,,,,0,,165129,,,,,,,,
6424861,,,,,,,,,,,,,,,,,,0,,,,,,,,,,
6427609,,,,,,,,,,,,,,,,,,0,2587,,,,,,,,,
6424958,,,,,,,,,,,,,,,,,,0,,,,,,,,,,
6424862,,,,,,,,,,,,,,,,,,0,,,,,,,,,,
6424954,,,,,,,,,,,,,,,,,,0,,,,,,,,,,
6424959,,,,,,,,,,,,,,,,,,0,7844,,,,,,,,,
6424955,,,,,,,,,,,,,,,,,,0,33463,,,,,,,,,
6424786,,,,,,,,,,,,,,,,,,0,,,,,,,,,,
6424889,,,,,,,,,,,,,,,,,,0,,,,,,,,,,
6424960,,,,,,,,,,,,,,,,,,0,257524,,,,,,,,,
6424881,,,,,,,,,,,,,,,,,,0,,,,,,,,,,
6424789,,,,,,,,,,,,,,,,,,0,,,,,,,,,,
6424787,,,,,,,,,,,,,,,,,,0,,,,,,,,,,
6424783,,,,,,,,,,,,,,,,,,0,5091,,,,,,,,,
6248099,,,,,,,,,,,,,,,,,,0,,,,,,,,,,
6424746,,,,,,,,,,,,,,,,,,0,3,,,,,,,,,
6424887,,,,,,,,,,,,,,,,,,0,,,,,,,,,,
6424868,,8,0,1,0,0,0,0,0,0,0,0,0,0,0,0,,9,,,,,,,,,,
6424596,,,,,,,,,,,,,,,,,,0,,372966,,,,,,,,
6424866,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,15551,,,,,,,,,
6424864,,,,,,,,,,,,,,,,,,0,,,,,,,,,,
6424743,,,,,,,,,,,,,,,,,,0,41102,59078,,,,,,,,
6424592,,,,,,,,,,,,,,,,,,0,,,,,,,,,,
6424990,,,,,,,,,,,,,,,,,,0,66632,,,,,,,,,
6424836,,,,,,,,,,,,,,,,,,0,7457,,,,,,,,,
